CNO,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,,,,
C1898,whole milk,curd,rolls/buns,pastry,pasta,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,
C1899,whole milk,butter,whipped/sour cream,condensed milk,soft cheese,hard cheese,processed cheese,frozen vegetables,detergent,,,,,,,,,,,,,,,,,,,,,,,
C1900,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1901,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1902,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1903,other vegetables,packaged fruit/vegetables,frozen dessert,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1904,whole milk,margarine,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1905,pork,tropical fruit,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1906,sausage,meat,turkey,citrus fruit,tropical fruit,pip fruit,root vegetables,onions,herbs,other vegetables,whole milk,curd,yogurt,whipped/sour cream,soft cheese,cream cheese,frozen vegetables,brown bread,pastry,semi-finished bread,margarine,,,,,,,,,,,
C1907,curd,yogurt,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1908,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1909,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1910,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1911,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1912,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1913,liver loaf,pork,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,curd,dessert,yogurt,frozen vegetables,brown bread,semi-finished bread,oil,dog food,fruit/vegetable juice,,,,,,,,,,,,,,,,
C1914,citrus fruit,tropical fruit,root vegetables,herbs,other vegetables,whole milk,yogurt,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,
C1915,chicken,citrus fruit,yogurt,whipped/sour cream,spread cheese,margarine,softener,,,,,,,,,,,,,,,,,,,,,,,,,
C1916,citrus fruit,whole milk,sliced cheese,rolls/buns,pastry,roll products,coffee,bottled water,soda,bottled beer,canned beer,rum,waffles,chocolate,,,,,,,,,,,,,,,,,,
C1917,bottled water,liquor (appetizer),specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1918,pip fruit,berries,root vegetables,other vegetables,whole milk,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,
C1919,whole milk,curd,yogurt,frozen vegetables,margarine,ketchup,cereals,canned fish,soda,cling film/bags,,,,,,,,,,,,,,,,,,,,,,
C1920,hamburger meat,whole milk,curd,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1921,turkey,hamburger meat,root vegetables,other vegetables,whole milk,yogurt,hard cheese,cereals,long life bakery product,specialty chocolate,candy,hygiene articles,,,,,,,,,,,,,,,,,,,,
C1922,ham,beef,tropical fruit,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,soft cheese,frozen potato products,rolls/buns,soda,long life bakery product,chocolate,,,,,,,,,,,,,,,,,
C1923,citrus fruit,pip fruit,other vegetables,canned vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1924,sausage,other vegetables,dessert,domestic eggs,pastry,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
C1925,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1926,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1927,chicken,hamburger meat,whole milk,rolls/buns,flour,margarine,coffee,canned beer,hygiene articles,shopping bags,,,,,,,,,,,,,,,,,,,,,,
C1928,beverages,rolls/buns,long life bakery product,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1929,onions,bottled water,soda,canned beer,chewing gum,male cosmetics,napkins,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,
C1930,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1931,butter,pastry,semi-finished bread,white wine,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1932,root vegetables,butter,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1933,sausage,ham,meat,pork,tropical fruit,pip fruit,grapes,other vegetables,whole milk,butter,whipped/sour cream,frozen meals,frozen fish,ice cream,domestic eggs,pastry,soda,syrup,detergent,,,,,,,,,,,,,
C1934,ham,whole milk,spread cheese,rolls/buns,waffles,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
C1935,soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1936,chicken,tropical fruit,whole milk,pastry,soda,long life bakery product,waffles,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
C1937,sausage,pip fruit,whole milk,rolls/buns,flour,oil,soda,,,,,,,,,,,,,,,,,,,,,,,,,
C1938,other vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1939,whole milk,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1940,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1941,chicken,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1942,tropical fruit,pip fruit,whole milk,curd,yogurt,frozen vegetables,frozen meals,white bread,instant coffee,misc. beverages,bottled beer,hygiene articles,,,,,,,,,,,,,,,,,,,,
C1943,pork,root vegetables,brown bread,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1944,tropical fruit,pip fruit,root vegetables,whole milk,yogurt,beverages,domestic eggs,white bread,sweet spreads,soda,,,,,,,,,,,,,,,,,,,,,,
C1945,chicken,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1946,other vegetables,curd,pastry,Instant food products,salty snack,cake bar,chewing gum,napkins,,,,,,,,,,,,,,,,,,,,,,,,
C1947,whipped/sour cream,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1948,whole milk,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1949,root vegetables,other vegetables,whole milk,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1950,sausage,berries,whole milk,yogurt,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1951,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1952,beef,whole milk,butter,rolls/buns,cat food,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,
C1953,root vegetables,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1954,rolls/buns,brown bread,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1955,canned beer,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1956,sweet spreads,coffee,chocolate,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1957,beef,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1958,frozen vegetables,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1959,bottled water,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1960,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1961,ice cream,sugar,napkins,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1962,ice cream,roll products,Instant food products,coffee,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1963,butter,whipped/sour cream,brown bread,pastry,canned vegetables,fruit/vegetable juice,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,
C1964,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1965,ham,tropical fruit,specialty cheese,long life bakery product,hygiene articles,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
C1966,citrus fruit,pip fruit,other vegetables,whole milk,butter,cream cheese,domestic eggs,vinegar,fruit/vegetable juice,softener,napkins,,,,,,,,,,,,,,,,,,,,,
C1967,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1968,butter,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1969,whole milk,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1970,hard cheese,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1971,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1972,soups,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1973,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1974,onions,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1975,ice cream,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1976,herbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1977,citrus fruit,pip fruit,curd,artif. sweetener,dog food,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,
C1978,white bread,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1979,pip fruit,root vegetables,sugar,coffee,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1980,misc. beverages,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1981,ice cream,soda,bottled beer,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1982,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1983,beef,tropical fruit,frozen vegetables,pickled vegetables,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
C1984,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1985,cat food,chocolate,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1986,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1987,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1988,berries,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1989,whole milk,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1990,root vegetables,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1991,pork,pip fruit,other vegetables,whole milk,yogurt,ketchup,pickled vegetables,soda,detergent,,,,,,,,,,,,,,,,,,,,,,,
C1992,sausage,pork,fish,citrus fruit,berries,whipped/sour cream,soda,fruit/vegetable juice,bathroom cleaner,soap,,,,,,,,,,,,,,,,,,,,,,
C1993,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1994,ice cream,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1995,berries,root vegetables,whole milk,dessert,yogurt,whipped/sour cream,cream cheese,semi-finished bread,canned fruit,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
C1996,bottled beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1997,pork,berries,whole milk,dessert,whipped/sour cream,fruit/vegetable juice,candy,,,,,,,,,,,,,,,,,,,,,,,,,
C1998,ice cream,soda,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1999,curd,yogurt,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2000,sausage,dessert,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2001,rolls/buns,vinegar,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2002,other vegetables,domestic eggs,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2003,other vegetables,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2004,root vegetables,canned vegetables,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2005,other vegetables,whole milk,butter,yogurt,cream cheese,vinegar,pet care,fruit/vegetable juice,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,
C2006,pastry,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2007,other vegetables,brown bread,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2008,other vegetables,frozen vegetables,pastry,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2009,citrus fruit,tropical fruit,whole milk,domestic eggs,pastry,bottled water,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,
C2010,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2011,citrus fruit,berries,onions,other vegetables,condensed milk,soft cheese,oil,pickled vegetables,specialty vegetables,coffee,bottled water,soda,bottled beer,dish cleaner,male cosmetics,cling film/bags,,,,,,,,,,,,,,,,
C2012,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2013,chocolate,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2014,citrus fruit,other vegetables,frozen meals,rice,canned beer,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,
C2015,other vegetables,yogurt,fruit/vegetable juice,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2016,sausage,chicken,beef,pip fruit,root vegetables,onions,yogurt,soft cheese,mayonnaise,margarine,jam,sweet spreads,coffee,bottled water,soda,dish cleaner,,,,,,,,,,,,,,,,
C2017,root vegetables,frozen meals,white bread,snack products,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2018,sausage,chicken,pip fruit,berries,other vegetables,dessert,yogurt,frozen vegetables,frozen meals,brown bread,semi-finished bread,ketchup,spices,ready soups,soda,canned beer,popcorn,,,,,,,,,,,,,,,
C2019,pip fruit,vinegar,bottled water,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2020,tropical fruit,berries,yogurt,domestic eggs,brown bread,soda,candy,,,,,,,,,,,,,,,,,,,,,,,,,
C2021,pork,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2022,whole milk,yogurt,cream cheese,oil,pickled vegetables,cat food,misc. beverages,long life bakery product,chocolate,specialty bar,dishes,,,,,,,,,,,,,,,,,,,,,
C2023,mustard,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2024,citrus fruit,white bread,ketchup,fruit/vegetable juice,bottled beer,salty snack,popcorn,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
C2025,whole milk,margarine,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2026,root vegetables,curd,dessert,whipped/sour cream,pastry,sauces,coffee,soda,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,
C2027,citrus fruit,tropical fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2028,UHT-milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2029,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2030,tropical fruit,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2031,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2032,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2033,beef,grapes,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2034,pip fruit,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2035,root vegetables,onions,other vegetables,yogurt,frozen meals,vinegar,canned vegetables,soda,salty snack,napkins,,,,,,,,,,,,,,,,,,,,,,
C2036,chicken,beef,citrus fruit,whole milk,cream cheese,domestic eggs,rolls/buns,canned beer,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,
C2037,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2038,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2039,pip fruit,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2040,whole milk,pastry,fruit/vegetable juice,canned beer,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2041,frankfurter,whole milk,bottled water,specialty chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2042,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2043,whole milk,cream cheese,oil,bottled water,fruit/vegetable juice,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,
C2044,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2045,butter milk,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2046,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2047,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2048,whole milk,ice cream,pastry,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2049,canned beer,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2050,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2051,root vegetables,onions,whipped/sour cream,UHT-milk,frozen dessert,margarine,syrup,,,,,,,,,,,,,,,,,,,,,,,,,
C2052,sausage,citrus fruit,other vegetables,dessert,yogurt,whipped/sour cream,hard cheese,curd cheese,white bread,semi-finished bread,cat food,bottled water,seasonal products,softener,flower soil/fertilizer,flower (seeds),,,,,,,,,,,,,,,,
C2053,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2054,other vegetables,dessert,waffles,light bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2055,sausage,ham,chicken,other vegetables,whole milk,butter,whipped/sour cream,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,
C2056,ham,other vegetables,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2057,domestic eggs,cat food,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2058,sausage,pip fruit,onions,spices,cat food,bottled beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
C2059,root vegetables,yogurt,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2060,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2061,citrus fruit,whole milk,specialty bar,dish cleaner,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2062,pork,frozen potato products,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2063,onions,dessert,yogurt,domestic eggs,rolls/buns,brown bread,pastry,cat food,bottled water,soda,fruit/vegetable juice,long life bakery product,chocolate,female sanitary products,napkins,,,,,,,,,,,,,,,,,
C2064,other vegetables,whole milk,yogurt,spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2065,chicken,pork,beef,berries,sliced cheese,jam,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
C2066,pip fruit,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2067,berries,chewing gum,seasonal products,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2068,whole milk,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2069,chicken,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2070,pork,onions,pastry,potato products,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2071,whole milk,specialty fat,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2072,pork,tropical fruit,berries,whole milk,yogurt,white bread,oil,,,,,,,,,,,,,,,,,,,,,,,,,
C2073,cat food,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2074,finished products,citrus fruit,yogurt,pastry,soda,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
C2075,brown bread,margarine,long life bakery product,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2076,berries,dessert,whipped/sour cream,bottled water,soda,fruit/vegetable juice,white wine,,,,,,,,,,,,,,,,,,,,,,,,,
C2077,ham,whole milk,domestic eggs,pastry,oil,baking powder,chewing gum,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,
C2078,fish,brown bread,pet care,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2079,pastry,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2080,sausage,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2081,whole milk,yogurt,spread cheese,semi-finished bread,baking powder,soda,cake bar,chocolate,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
C2082,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2083,whole milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2084,sausage,root vegetables,white bread,roll products,semi-finished bread,soda,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
C2085,soda,chocolate,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2086,ham,whole milk,dessert,processed cheese,bottled water,soda,fruit/vegetable juice,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
C2087,bottled beer,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2088,sausage,ham,whole milk,dessert,margarine,baking powder,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,
C2089,sausage,chicken,other vegetables,whole milk,yogurt,cream cheese,brown bread,soda,,,,,,,,,,,,,,,,,,,,,,,,
C2090,sausage,root vegetables,other vegetables,dessert,yogurt,whipped/sour cream,sliced cheese,domestic eggs,white bread,pastry,bottled water,fruit/vegetable juice,popcorn,,,,,,,,,,,,,,,,,,,
C2091,sausage,rolls/buns,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2092,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2093,root vegetables,yogurt,beverages,domestic eggs,white bread,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,
C2094,citrus fruit,whole milk,baking powder,cocoa drinks,skin care,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C2095,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2096,whole milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2097,yogurt,ice cream,white bread,sweet spreads,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2098,UHT-milk,mayonnaise,rolls/buns,pickled vegetables,soda,hygiene articles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
C2099,citrus fruit,tropical fruit,pip fruit,other vegetables,rolls/buns,misc. beverages,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,
C2100,citrus fruit,pip fruit,whole milk,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2101,whole milk,butter milk,whipped/sour cream,ice cream,brown bread,specialty chocolate,candy,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,
C2102,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2103,rolls/buns,sugar,sweet spreads,chewing gum,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2104,sausage,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2105,frozen fish,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2106,other vegetables,whole milk,baking powder,coffee,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,
C2107,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2108,tropical fruit,other vegetables,whole milk,frozen vegetables,pastry,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,
C2109,butter milk,hard cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2110,sausage,butter milk,soft cheese,rolls/buns,instant coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C2111,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2112,spread cheese,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2113,rolls/buns,sweet spreads,canned fish,chewing gum,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2114,frankfurter,onions,candy,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2115,frankfurter,pip fruit,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2116,condensed milk,pastry,coffee,soda,red/blush wine,salty snack,nut snack,long life bakery product,waffles,cookware,,,,,,,,,,,,,,,,,,,,,,
C2117,rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2118,frankfurter,whole milk,brown bread,cake bar,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C2119,rolls/buns,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2120,rolls/buns,white bread,dish cleaner,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2121,other vegetables,whole milk,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2122,sausage,tropical fruit,other vegetables,whole milk,yogurt,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
C2123,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2124,pip fruit,other vegetables,whole milk,yogurt,beverages,frozen potato products,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,
C2125,citrus fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2126,flour,bottled water,chocolate,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2127,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2128,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2129,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2130,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2131,pork,whole milk,rolls/buns,artif. sweetener,baking powder,specialty chocolate,house keeping products,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
C2132,frozen vegetables,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2133,tropical fruit,other vegetables,whole milk,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2134,citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2135,frankfurter,beef,other vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2136,other vegetables,whole milk,rolls/buns,vinegar,margarine,soda,waffles,,,,,,,,,,,,,,,,,,,,,,,,,
C2137,sweet spreads,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2138,frankfurter,sausage,other vegetables,domestic eggs,ketchup,canned fish,soda,long life bakery product,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
C2139,pork,beef,other vegetables,hard cheese,cream cheese,rolls/buns,brown bread,napkins,,,,,,,,,,,,,,,,,,,,,,,,
C2140,sausage,ham,finished products,frozen meals,salty snack,long life bakery product,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
C2141,pip fruit,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2142,bottled beer,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2143,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2144,liver loaf,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2145,frankfurter,onions,soft cheese,white bread,pastry,salt,chocolate,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
C2146,berries,onions,whipped/sour cream,brown bread,pasta,liquor,dishes,,,,,,,,,,,,,,,,,,,,,,,,,
